CometBFT Address,Name,CometBFT Pubkey,Operator Address
5951C4349AB792BFB3A63956512663CC3B733D6E,BicroStrategy,0x83fd53710b75c2115bd0aac128b739eb9fa9e262603dacdf834030abb1bf4c8a6c00bb72b314c123d77f4ff40cd4d49a,0x4595d079a06a9628f8384d7f568a29cc95a14f1e
9DB42D740B0D0C6A08543D679BF50CED94CA8E3C,wallahi,0x83d0f90cdedaac1450c8dc08cfa644ae02f5918572041c2fca7df8b55336682cb5edbccadd6e77129de425844e147d02,0x1daa6d6b90e2375d4262cde3c5553bc31688a969
6B3D9D5DFE82E0BF52D6045DF17F16560A027717,UFN,0x89543c3e50251ae355835484faf7cb38dacfca943b97fef9c9ee1e47248258a7198da417bf8fc6771fa7ef16a8adec0f,0xb5335225a53e1575c3f9c3e45f616e7899590e72
B29EA710A83B6D518A5566AC8AB90C2979CACC16,Kudasai,0x8d0a94a5a2bb0289ebb24e73233f5ae6508d635022d8a12c69fce99791783bd76ab3fd33b6304a5fe42b85201db12f18,0xc2e5960eda1e8d801b19e96d886b946dfb4be709
EFB1A37176B9D0252B10D7F56851E68CF096B5CA,A41,0xabfb6d9eb0785e57b43ecffddd5d906375dd627e7338137a77c02788ed6d569b1a098ff2c2499a740e382930b39bce48,0x284edbba0997383713039cacc6713cbfa4fa70b6
06BC43DC34E9F52CFBBDAD93F9FA743BF5278E7F,BGTScan,0x832153bf3e09b9cab14414425a0ebaeb889e21d20872ebb990ed9a6102d7dc7f3017d4689f931a8e96d918bdeb184e1b,0x3e8c50054c1854495f5873fcba10c6ea91d5085a
1ED255BA54A031E4ACE64B4AC9B0CD999AF1AB71,The Empty Jar,0xb77084d2b92baa3e01ec5ce57fbd529d3c8e60941c637bdc7c85d9ca2cc56545c3cbea86879dcbe9402f8a55d0284e7b,0xd2c35c5ef5e989811723f160ed396f10e0696d66
2C1B7662D046B2FCAF685C804037D3FC728E9E80,StakeLab,0x98111a6ee569f1be005551d8c76e042aabcb5bf4c491d177445a2b5fb30dedc7bf6db39e387831c6739bde4129c6ada5,0x6aa0757bc4ffdc9f0deb5e9fa08173c07ef2afcc
4C79631C9E3BACA9D266C8FB3AD6A5304431D055,Luganodes,0x960052c5509caa280218f3ecf3da7ba5bf4ec20b97e6c52700dd93515ef4e963813aa92a8731c9e137b1027dbc77102f,0x46ebdbcddc18aabf53deeb1604b3be95aa3df449
616EABCEC6FB0DB1AC54C5461D952BFB46B45819,ChorusOne,0xab98ea73f3afab04154829f8d12a537cbf31a8b08f7f8e3870f4902001f0011234ed8f9218b40b4ed732d11d889f609d,0xf2048c29ef806ed003dee1ae703f00ef7340ac84
6DE14F6BCFECCE0F3F86936B6DB580258E542047,Asymmetric Research,0xa14fa37a1d4c65326bf091d3bb0e5607fde8946471ed923e6815077fac7282d89820dd4f8765e4085ca8247fb99ecb6b,0x3e4abd8d931ab73f14cdeead41ccd4b82217593c
8F7E52CBD156EDD9317042F67AE7ABD1D64C9E19,Stakecito,0xa247c21f73c3327f31f8ee0dbb40110ef0a830af89b83986dddf92d1bd1a68b88f9050bc6a0f1405cb75fbb457e3e83b,0xa38092223392bb225d0d81bab2527dadf02affde
B08ADE9A00DFC0A0EACB84BF579B6B6C0C32A645,TTT 🇻🇳,0x89884fc95abcb82736d768fc8ad4fdf4cb2112496974ae05440d835d0e93216643ae212b365fb6d9d2501d76d0925ef3,0xdcf18931d46059501f308b2becacc76507d9e21d
C52C7CDD8E64EF9581473E2AE286A96FB6A444A9,DeSpread,0x865a04fc3fb234b69595fc464b00604e8e1f387d47dc6bca2d1503a82d2e20060334ef275c764136f13b87447bd3d0a8,0x054aacf7ea50c873e4a43582e25c48ab028274ff
0634E825DCD51BF722CCF02086899CDE1E862E5A,P-OPS Team,0x89233d54cc54e67cbab9493af37bcbedaa9def92c14637694bf88f675b2ccd0a6c98a8dde009d6d80f515f11a8845517,0xa7ac3755c744e853c951c351850a0987148bdaed
