address,name,protocol,validatorsDirectingRewards,validatorsDirectingPercentage,bgtDirectingPercentage
0x7E6E4DacFF9aB49804667e1d7B76E921a8fbBE44,Bull Ish V2,BULL ISH,2,2.857142857142857,0.5714285714285714
0x9e4ff9F6f255eCb3fb3937e81439a2c69377F3af,Kodiak - PLUTUS | WBERA 0.3% Island,Kodiak,2,2.857142857142857,0.6428571428571428
0xcA098a50eFd1DC1403f2D601A381C99e16313456,,,2,2.857142857142857,0.4285714285714286
0x9BC3D407D930910a7aF515D473Ce9633624C1574,BurrBear - BURR | wgBERA,BurrBear,2,2.857142857142857,0.5714285714285714
0xb4c32fD71C89f0195A8AC0c3fA9ebf2b4774bd26,Bulla - BERA | iBGT,Bulla Exchange,1,1.4285714285714286,0.1142857142857143
0x25AceC3A1766A0d02d7C8E22f48533D32D7b311b,Smilee - iBERA | wgBERA,Kodiak,1,1.4285714285714286,0.4285714285714286
0x96325246424C5Fc1d302765FC76ef66f16E0632C,,,1,1.4285714285714286,0.4285714285714286
0xce77A233a22873440496166B1d41A6FEda93C3c5,,,1,1.4285714285714286,0.2857142857142857
0x28AcE51D12F839c678fF15BA303Aa6f6e64d05Fa,,,1,1.4285714285714286,0.2857142857142857
0x610b6A27A3A83Cea0574C5001F30d9EEA3699b1a,Henlo - Henlocker690M,Beradrome,1,1.4285714285714286,0.05714285714285715
0x8412561FADDD6C85F5a17e07E0F29428B813E69B,Henlo - Henlocker100M,HENLO,1,1.4285714285714286,0.04285714285714286
0x15970fcf2dbb9FfCC4e2f79c3Fd777B871540D5b,Henlo - Henlocker420M,HENLO,1,1.4285714285714286,0.04285714285714286
0xA713816E8d190EFdf35d66b723eb63f8c8c4d5D2,Henlo - Henlocker330M,HENLO,1,1.4285714285714286,0.04285714285714286
0xA6A3E6fb89FA4C6554e82D05b449639EeBfc564f,Henlo - Henlocker1B,Beradrome,1,1.4285714285714286,0.07142857142857142
0x6B23E121C6A13c959d69493Ea5cA015A5847596A,Ramen - RAMEN | BERA,Kodiak,1,1.4285714285714286,0.07142857142857142
0xA6cAB22B1b64532aF6779d7227983D1Be1Bd317E,Beraplug - PLUG | WBERA,Kodiak,1,1.4285714285714286,0.15714285714285714
0x63233e055847eD2526d9275a6cD1d01CAAFC09f0,Beradrome - hiBERO | HONEY,Beradrome,1,1.4285714285714286,0.4285714285714286
0xCe420Bc9bDb02056cD6D6349Ace17ef52F8A6540,Kodiak - iBGT | wgBERA,Kodiak,1,1.4285714285714286,0.4285714285714286
0xcD1982B07ADFa787a88Dc1157b9fa3221d25fcaF,StakeStone - WETH | STONE,Kodiak,1,1.4285714285714286,0.4285714285714286
0x02C810dC4ef88deAdc3Faa08608ED81E20B4d17d,Henlo Wall,HENLO,1,1.4285714285714286,0.4285714285714286
0xc91aC72d1051b8C128ded1B00f55f6e2deCD75AA,,,1,1.4285714285714286,0.14285714285714285
0xE409272355d32a3DFcdDe888cA275AC33146b854,,,1,1.4285714285714286,0.4285714285714286
0x054d3bdB73d8e6E2Ab24733d78353a7Bc565A95b,,,1,1.4285714285714286,0.4285714285714286
0x9136Df2DAABe52A97340Cce8C53d4c1314d52C18,,,1,1.4285714285714286,0.15714285714285714
0x5Ecefd0F14b0085d5ec3600Fd1A97fA1366F97D9,webera-vault-ibera,WeBera,1,1.4285714285714286,0.1
0x576374e222ec51608f9631f074536B9f897d2638,BurrBear - WBTC | SolvBTC | xSolvBTC,BurrBear,1,1.4285714285714286,0.2857142857142857
0x124ca134dd2CD67362E259fb33A2c762d8BAF961,Kodiak Island OOGA-WBERA-1%,Kodiak,1,1.4285714285714286,0.2857142857142857
0x6fD82191550c53414B1d4cE982a8424CE039697B,BurrBear - NECT | USDC.e | USD₮0 | HONEY,BurrBear,1,1.4285714285714286,0.14285714285714285
0x9ffEC62263e8EAEd5Eaefb58CA9EA59fFa8039Fc,Henlo Incinerator,HENLO,1,1.4285714285714286,0.4285714285714286
0x29aF240276168330C3C266112d7FFDC1fd3C764d,,,1,1.4285714285714286,0.07142857142857142
0x2cb34EEaDb1E7aE9Cc7BAFb84A189e9D921E193a,,,1,1.4285714285714286,0.2857142857142857
0x6Eb9bC8d1d8D6e94238c2D4f756F25A27FB34268,Wasabee - wgBERA | WBERA,Wasabee,1,1.4285714285714286,0.4285714285714286
0x284f8D4B98FeD32f154911102053a0C1Ab621FC0,,,1,1.4285714285714286,0.14285714285714285
0x9d65dA133391b2c055509d049C835A821d84e922,LBGT | WBERA KODIAK ISLAND,Kodiak,1,1.4285714285714286,0.2285714285714286
